Freq.	V(vout)
1.38356637897177e+00	(5.62719452427531e+01dB,-2.14186538320860e+00°)
1.38675582887188e+00	(5.62719166197890e+01dB,-2.14679812334275e+00°)
1.38995263121334e+00	(5.62718878648866e+01dB,-2.15174220018962e+00°)
1.39315680294529e+00	(5.62718589774600e+01dB,-2.15669764193572e+00°)
1.39636836105593e+00	(5.62718299568851e+01dB,-2.16166447301787e+00°)
1.39958732257261e+00	(5.62718008025527e+01dB,-2.16664272097738e+00°)
1.40281370456195e+00	(5.62717715138433e+01dB,-2.17163241036773e+00°)
1.40604752412990e+00	(5.62717420901462e+01dB,-2.17663356808552e+00°)
1.40928879842186e+00	(5.62717125308397e+01dB,-2.18164622032447e+00°)
1.41253754462274e+00	(5.62716828352891e+01dB,-2.18667039257548e+00°)
1.41579377995707e+00	(5.62716530028781e+01dB,-2.19170611267299e+00°)
1.41905752168908e+00	(5.62716230329807e+01dB,-2.19675340698730e+00°)
1.42232878712281e+00	(5.62715929249459e+01dB,-2.20181230042478e+00°)
1.42560759360218e+00	(5.62715626781526e+01dB,-2.20688281947407e+00°)
1.42889395851109e+00	(5.62715322919585e+01dB,-2.21196499144483e+00°)
1.43218789927353e+00	(5.62715017657260e+01dB,-2.21705884370614e+00°)
1.43548943335364e+00	(5.62714710988069e+01dB,-2.22216440292522e+00°)
1.43879857825583e+00	(5.62714402905393e+01dB,-2.22728169202117e+00°)
1.44211535152486e+00	(5.62714093402983e+01dB,-2.23241074387327e+00°)
1.44543977074592e+00	(5.62713782474269e+01dB,-2.23755158075900e+00°)
1.44877185354475e+00	(5.62713470112504e+01dB,-2.24270423186996e+00°)
1.45211161758773e+00	(5.62713156311172e+01dB,-2.24786872188861e+00°)
1.45545908058195e+00	(5.62712841063789e+01dB,-2.25304508088878e+00°)
1.45881426027534e+00	(5.62712524363595e+01dB,-2.25823333519700e+00°)
1.46217717445671e+00	(5.62712206203834e+01dB,-2.26343350891567e+00°)
1.46554784095590e+00	(5.62711886577863e+01dB,-2.26864563230052e+00°)
1.46892627764385e+00	(5.62711565478970e+01dB,-2.27386973338349e+00°)
1.47231250243271e+00	(5.62711242900415e+01dB,-2.27910583644966e+00°)
1.47570653327588e+00	(5.62710918835210e+01dB,-2.28435397117623e+00°)
1.47910838816819e+00	(5.62710593276622e+01dB,-2.28961416501698e+00°)
1.48251808514594e+00	(5.62710266217857e+01dB,-2.29488644320240e+00°)
1.48593564228699e+00	(5.62709937651864e+01dB,-2.30017083559391e+00°)
1.48936107771090e+00	(5.62709607571856e+01dB,-2.30546736906827e+00°)
1.49279440957898e+00	(5.62709275970757e+01dB,-2.31077607132567e+00°)
1.49623565609442e+00	(5.62708942841608e+01dB,-2.31609697088972e+00°)
1.49968483550236e+00	(5.62708608177342e+01dB,-2.32143009406139e+00°)
1.50314196609001e+00	(5.62708271970970e+01dB,-2.32677547025013e+00°)
1.50660706618673e+00	(5.62707934215396e+01dB,-2.33213312626216e+00°)
1.51008015416413e+00	(5.62707594903424e+01dB,-2.33750309125086e+00°)
