"TIME","CH2","CH3","CH4"
-1.8000e-02,-0.152,0.0012,0.88
-1.7996e-02,-0.156,0.001,0.84
-1.7992e-02,-0.152,0.0008,0.88
-1.7988e-02,-0.14,0.0006,0.86
-1.7984e-02,-0.148,0.0008,0.84
-1.7980e-02,-0.16,0.0002,0.88
-1.7976e-02,-0.152,0.0002,0.8
-1.7972e-02,-0.156,0.0004,0.78
-1.7968e-02,-0.152,0.0008,0.88
-1.7964e-02,-0.156,0.0014,0.9
-1.7960e-02,-0.148,0.0018,0.84
-1.7956e-02,-0.148,0.0008,0.86
-1.7952e-02,-0.156,0.0006,0.94
-1.7948e-02,-0.152,0.0008,0.86
-1.7944e-02,-0.16,0.0006,0.9
-1.7940e-02,-0.16,0.0004,0.84
-1.7936e-02,-0.152,0.0006,0.92
-1.7932e-02,-0.152,0.0014,0.9
-1.7928e-02,-0.156,0.0012,0.84
-1.7924e-02,-0.156,0.0004,0.88
-1.7920e-02,-0.156,0.001,0.84
-1.7916e-02,-0.156,0.0014,0.86
-1.7912e-02,-0.156,0.001,0.86
-1.7908e-02,-0.152,0.0012,0.9
-1.7904e-02,-0.16,0.0016,0.88
-1.7900e-02,-0.156,0.0014,0.8
-1.7896e-02,-0.156,0.0004,0.9
-1.7892e-02,-0.16,0.0002,0.86
-1.7888e-02,-0.144,0.0004,0.88
-1.7884e-02,-0.156,0.0008,0.86
-1.7880e-02,-0.156,0.0004,0.84
-1.7876e-02,-0.152,0.001,0.92
-1.7872e-02,-0.152,0.0006,0.82
-1.7868e-02,-0.156,0.0006,0.88
-1.7864e-02,-0.164,-2.84217e-18,0.9
-1.7860e-02,-0.156,0.0006,0.9
-1.7856e-02,-0.152,0.0008,0.92
-1.7852e-02,-0.148,0.0012,0.8
-1.7848e-02,-0.16,0.0002,0.9
-1.7844e-02,-0.152,0.0016,0.84
-1.7840e-02,-0.152,0.0012,0.88
-1.7836e-02,-0.156,0.0014,0.84
-1.7832e-02,-0.152,0.0014,0.88
-1.7828e-02,-0.16,0.0008,0.84
-1.7824e-02,-0.16,0.0006,0.88
-1.7820e-02,-0.152,0.0006,0.86
-1.7816e-02,-0.152,0.0006,0.86
-1.7812e-02,-0.156,0.0008,0.84
-1.7808e-02,-0.156,0.0008,0.86
-1.7804e-02,-0.152,0.0004,0.88
-1.7800e-02,-0.148,0.0008,0.9
-1.7796e-02,-0.156,0.0004,0.92
-1.7792e-02,-0.148,0.0006,0.9
-1.7788e-02,-0.144,0.0008,0.86
-1.7784e-02,-0.16,0.0004,0.9
-1.7780e-02,-0.156,0.0014,0.88
-1.7776e-02,-0.164,0.0008,0.9
-1.7772e-02,-0.148,0.0008,0.88
-1.7768e-02,-0.156,0.0008,0.84
-1.7764e-02,-0.168,0.0008,0.84
-1.7760e-02,-0.16,0.0008,0.9
-1.7756e-02,-0.152,0.0012,0.84
-1.7752e-02,-0.152,0.0012,0.92
-1.7748e-02,-0.152,0.0008,0.84
-1.7744e-02,-0.156,0.001,0.86
