Freq.	V(vout)
7.07945784384136e+02	(-5.21708129482935e+01dB,-1.72564771281853e+02°)
7.24435960074988e+02	(-5.25674050034456e+01dB,-1.72744559185735e+02°)
7.41310241300916e+02	(-5.29641484682765e+01dB,-1.72920671800170e+02°)
7.58577575029182e+02	(-5.33610367602243e+01dB,-1.73093191258913e+02°)
7.76247116628690e+02	(-5.37580635758808e+01dB,-1.73262198519202e+02°)
7.94328234724279e+02	(-5.41552228800197e+01dB,-1.73427773358451e+02°)
8.12830516164097e+02	(-5.45525088949910e+01dB,-1.73589994373141e+02°)
8.31763771102669e+02	(-5.49499160904741e+01dB,-1.73748938979752e+02°)
8.51138038202374e+02	(-5.53474391735911e+01dB,-1.73904683417626e+02°)
8.70963589956078e+02	(-5.57450730793587e+01dB,-1.74057302753532e+02°)
8.91250938133743e+02	(-5.61428129614902e+01dB,-1.74206870887880e+02°)
9.12010839355907e+02	(-5.65406541835224e+01dB,-1.74353460562404e+02°)
9.33254300796988e+02	(-5.69385923102742e+01dB,-1.74497143369210e+02°)
9.54992586021433e+02	(-5.73366230996148e+01dB,-1.74637989761070e+02°)
9.77237220955808e+02	(-5.77347424945485e+01dB,-1.74776069062866e+02°)
9.99999999999997e+02	(-5.81329466155933e+01dB,-1.74911449484074e+02°)
1.02329299228075e+03	(-5.85312317534546e+01dB,-1.75044198132189e+02°)
1.04712854805090e+03	(-5.89295943619842e+01dB,-1.75174381027039e+02°)
1.07151930523760e+03	(-5.93280310514090e+01dB,-1.75302063115850e+02°)
1.09647819614318e+03	(-5.97265385818331e+01dB,-1.75427308289040e+02°)
1.12201845430196e+03	(-6.01251138569948e+01dB,-1.75550179396648e+02°)
1.14815362149688e+03	(-6.05237539182722e+01dB,-1.75670738265324e+02°)
1.17489755493953e+03	(-6.09224559389381e+01dB,-1.75789045715835e+02°)
1.20226443461741e+03	(-6.13212172186422e+01dB,-1.75905161581037e+02°)
1.23026877081238e+03	(-6.17200351781216e+01dB,-1.76019144724230e+02°)
1.25892541179416e+03	(-6.21189073541339e+01dB,-1.76131053057889e+02°)
1.28824955169313e+03	(-6.25178313945975e+01dB,-1.76240943562686e+02°)
1.31825673855640e+03	(-6.29168050539362e+01dB,-1.76348872306793e+02°)
1.34896288259165e+03	(-6.33158261886260e+01dB,-1.76454894465422e+02°)
1.38038426460288e+03	(-6.37148927529235e+01dB,-1.76559064340544e+02°)
1.41253754462275e+03	(-6.41140027947847e+01dB,-1.76661435380795e+02°)
1.44543977074592e+03	(-6.45131544519565e+01dB,-1.76762060201501e+02°)
1.47910838816820e+03	(-6.49123459482414e+01dB,-1.76860990604834e+02°)
1.51356124843620e+03	(-6.53115755899217e+01dB,-1.76958277600022e+02°)
1.54881661891248e+03	(-6.57108417623473e+01dB,-1.77053971423672e+02°)
1.58489319246111e+03	(-6.61101429266732e+01dB,-1.77148121560092e+02°)
1.62181009735892e+03	(-6.65094776167417e+01dB,-1.77240776761667e+02°)
1.65958690743755e+03	(-6.69088444361100e+01dB,-1.77331985069239e+02°)
1.69824365246174e+03	(-6.73082420552128e+01dB,-1.77421793832496e+02°)
1.73780082874937e+03	(-6.77076692086532e+01dB,-1.77510249730328e+02°)
1.77827941003892e+03	(-6.81071246926243e+01dB,-1.77597398791175e+02°)
1.81970085860998e+03	(-6.85066073624507e+01dB,-1.77683286413335e+02°)
1.86208713666286e+03	(-6.89061161302444e+01dB,-1.77767957385232e+02°)
1.90546071796324e+03	(-6.93056499626793e+01dB,-1.77851455905633e+02°)
1.94984459975804e+03	(-6.97052078788731e+01dB,-1.77933825603815e+02°)
1.99526231496887e+03	(-7.01047889483719e+01dB,-1.78015109559667e+02°)
2.04173794466952e+03	(-7.05043922892351e+01dB,-1.78095350323744e+02°)
2.08929613085403e+03	(-7.09040170662266e+01dB,-1.78174589937239e+02°)
2.13796208950222e+03	(-7.13036624890905e+01dB,-1.78252869951914e+02°)
2.18776162394954e+03	(-7.17033278109242e+01dB,-1.78330231449933e+02°)
2.23872113856833e+03	(-7.21030123266386e+01dB,-1.78406715063671e+02°)
2.29086765276776e+03	(-7.25027153715001e+01dB,-1.78482360995420e+02°)
2.34422881531991e+03	(-7.29024363197632e+01dB,-1.78557209037066e+02°)
2.39883291901948e+03	(-7.33021745833724e+01dB,-1.78631298589686e+02°)
2.45470891568502e+03	(-7.37019296107522e+01dB,-1.78704668683094e+02°)
2.51188643150957e+03	(-7.41017008856653e+01dB,-1.78777357995348e+02°)
2.57039578276885e+03	(-7.45014879261465e+01dB,-1.78849404872200e+02°)
2.63026799189537e+03	(-7.49012902835064e+01dB,-1.78920847346503e+02°)
2.69153480392690e+03	(-7.53011075414089e+01dB,-1.78991723157597e+02°)
2.75422870333815e+03	(-7.57009393150074e+01dB,-1.79062069770643e+02°)
2.81838293126444e+03	(-7.61007852501562e+01dB,-1.79131924395980e+02°)
2.88403150312659e+03	(-7.65006450226799e+01dB,-1.79201324008406e+02°)
2.95120922666637e+03	(-7.69005183377096e+01dB,-1.79270305366520e+02°)
3.01995172040200e+03	(-7.73004049290761e+01dB,-1.79338905032013e+02°)
3.09029543251358e+03	(-7.77003045587717e+01dB,-1.79407159389023e+02°)
3.16227766016836e+03	(-7.81002170164629e+01dB,-1.79475104663467e+02°)
3.23593656929627e+03	(-7.85001421190672e+01dB,-1.79542776942443e+02°)
3.31131121482590e+03	(-7.89000797103880e+01dB,-1.79610212193660e+02°)
3.38844156139201e+03	(-7.93000296608052e+01dB,-1.79677446284936e+02°)
3.46736850452530e+03	(-7.96999918670239e+01dB,-1.79744515003756e+02°)
3.54813389233574e+03	(-8.00999662518785e+01dB,-1.79811454076911e+02°)
3.63078054770100e+03	(-8.04999527641974e+01dB,-1.79878299190267e+02°)
3.71535229097171e+03	(-8.08999513787179e+01dB,-1.79945086008587e+02°)
3.80189396320559e+03	(-8.12999620960644e+01dB,1.79988149804458e+02°)
3.89045144994279e+03	(-8.16999849427768e+01dB,1.79921372566193e+02°)
3.98107170553495e+03	(-8.21000199714034e+01dB,1.79854546554627e+02°)
4.07380277804111e+03	(-8.25000672606421e+01dB,1.79787635988024e+02°)
4.16869383470333e+03	(-8.29001269155501e+01dB,1.79720605004217e+02°)
4.26579518801591e+03	(-8.33001990678040e+01dB,1.79653417639770e+02°)
4.36515832240164e+03	(-8.37002838760235e+01dB,1.79586037808855e+02°)
4.46683592150961e+03	(-8.41003815261568e+01dB,1.79518429281913e+02°)
4.57088189614873e+03	(-8.45004922319250e+01dB,1.79450555664004e+02°)
4.67735141287196e+03	(-8.49006162353331e+01dB,1.79382380372882e+02°)
4.78630092322636e+03	(-8.53007538072451e+01dB,1.79313866616736e+02°)
4.89778819368444e+03	(-8.57009052480250e+01dB,1.79244977371583e+02°)
5.01187233627270e+03	(-8.61010708882465e+01dB,1.79175675358263e+02°)
5.12861383991362e+03	(-8.65012510894754e+01dB,1.79105923019076e+02°)
5.24807460249770e+03	(-8.69014462451240e+01dB,1.79035682493922e+02°)
5.37031796370250e+03	(-8.73016567813813e+01dB,1.78964915596023e+02°)
5.49540873857622e+03	(-8.77018831582225e+01dB,1.78893583787107e+02°)
5.62341325190346e+03	(-8.81021258704977e+01dB,1.78821648152079e+02°)
5.75439937337154e+03	(-8.85023854491126e+01dB,1.78749069373103e+02°)
5.88843655355586e+03	(-8.89026624622860e+01dB,1.78675807703077e+02°)
6.02559586074354e+03	(-8.93029575169130e+01dB,1.78601822938445e+02°)
