Freq.	V(vout)
1.34896288259165e+03	(-1.16357129468093e+01dB,-3.94407587522263e+00°)
1.38038426460288e+03	(-1.16364452531227e+01dB,-3.87842880081707e+00°)
1.41253754462275e+03	(-1.16371463645021e+01dB,-3.81482168751360e+00°)
1.44543977074592e+03	(-1.16378177533655e+01dB,-3.75322193906907e+00°)
1.47910838816820e+03	(-1.16384608303889e+01dB,-3.69359795131566e+00°)
1.51356124843620e+03	(-1.16390769473835e+01dB,-3.63591910034535e+00°)
1.54881661891248e+03	(-1.16396674000619e+01dB,-3.58015573094539e+00°)
1.58489319246111e+03	(-1.16402334306932e+01dB,-3.52627914521032e+00°)
1.62181009735892e+03	(-1.16407762306504e+01dB,-3.47426159141936e+00°)
1.65958690743755e+03	(-1.16412969428612e+01dB,-3.42407625315185e+00°)
1.69824365246174e+03	(-1.16417966641623e+01dB,-3.37569723867713e+00°)
1.73780082874937e+03	(-1.16422764475591e+01dB,-3.32909957059186e+00°)
1.77827941003892e+03	(-1.16427373044021e+01dB,-3.28425917576682e+00°)
1.81970085860998e+03	(-1.16431802064796e+01dB,-3.24115287556719e+00°)
1.86208713666286e+03	(-1.16436060880271e+01dB,-3.19975837638312e+00°)
1.90546071796324e+03	(-1.16440158476679e+01dB,-3.16005426045884e+00°)
1.94984459975804e+03	(-1.16444103502802e+01dB,-3.12201997705118e+00°)
1.99526231496887e+03	(-1.16447904287937e+01dB,-3.08563583389447e+00°)
2.04173794466952e+03	(-1.16451568859212e+01dB,-3.05088298901234e+00°)
2.08929613085403e+03	(-1.16455104958384e+01dB,-3.01774344284494e+00°)
2.13796208950222e+03	(-1.16458520057934e+01dB,-2.98620003074047e+00°)
2.18776162394954e+03	(-1.16461821376720e+01dB,-2.95623641576656e+00°)
2.23872113856833e+03	(-1.16465015895066e+01dB,-2.92783708190382e+00°)
2.29086765276776e+03	(-1.16468110369361e+01dB,-2.90098732756305e+00°)
2.34422881531991e+03	(-1.16471111346269e+01dB,-2.87567325949763e+00°)
2.39883291901948e+03	(-1.16474025176417e+01dB,-2.85188178705502e+00°)
2.45470891568502e+03	(-1.16476858027782e+01dB,-2.82960061680812e+00°)
2.51188643150957e+03	(-1.16479615898656e+01dB,-2.80881824757547e+00°)
2.57039578276885e+03	(-1.16482304630271e+01dB,-2.78952396580185e+00°)
2.63026799189537e+03	(-1.16484929919115e+01dB,-2.77170784133013e+00°)
