Freq.	V(vout)
9.33254300796985e+03	(-9.69131420382629e+01dB,1.77000886842030e+02°)
9.54992586021430e+03	(-9.73140018094799e+01dB,1.76903016438736e+02°)
9.77237220955804e+03	(-9.77149049830151e+01dB,1.76803415147646e+02°)
9.99999999999993e+03	(-9.81158536234304e+01dB,1.76702023766870e+02°)
1.02329299228075e+04	(-9.85168499063267e+01dB,1.76598781681425e+02°)
1.04712854805089e+04	(-9.89178961244038e+01dB,1.76493626797250e+02°)
1.07151930523760e+04	(-9.93189946939093e+01dB,1.76386495471848e+02°)
1.09647819614318e+04	(-9.97201481615158e+01dB,1.76277322441471e+02°)
1.12201845430196e+04	(-1.00121359211646e+02dB,1.76166040744482e+02°)
1.14815362149688e+04	(-1.00522630674287e+02dB,1.76052581640694e+02°)
1.17489755493952e+04	(-1.00923965533327e+02dB,1.75936874526403e+02°)
1.20226443461740e+04	(-1.01325366935448e+02dB,1.75818846844783e+02°)
1.23026877081237e+04	(-1.01726838199640e+02dB,1.75698423991334e+02°)
1.25892541179416e+04	(-1.02128382827345e+02dB,1.75575529214015e+02°)
1.28824955169313e+04	(-1.02530004513334e+02dB,1.75450083507737e+02°)
1.31825673855640e+04	(-1.02931707157314e+02dB,1.75322005502704e+02°)
1.34896288259164e+04	(-1.03333494876388e+02dB,1.75191211346273e+02°)
1.38038426460288e+04	(-1.03735372018375e+02dB,1.75057614577768e+02°)
1.41253754462274e+04	(-1.04137343176122e+02dB,1.74921125995821e+02°)
1.44543977074592e+04	(-1.04539413202832e+02dB,1.74781653517575e+02°)
1.47910838816820e+04	(-1.04941587228548e+02dB,1.74639102029279e+02°)
1.51356124843620e+04	(-1.05343870677849e+02dB,1.74493373227515e+02°)
1.54881661891247e+04	(-1.05746269288891e+02dB,1.74344365450443e+02°)
1.58489319246110e+04	(-1.06148789133894e+02dB,1.74191973498249e+02°)
1.62181009735892e+04	(-1.06551436641219e+02dB,1.74036088442014e+02°)
1.65958690743755e+04	(-1.06954218619159e+02dB,1.73876597420111e+02°)
1.69824365246173e+04	(-1.07357142281619e+02dB,1.73713383421156e+02°)
1.73780082874936e+04	(-1.07760215275840e+02dB,1.73546325052499e+02°)
1.77827941003891e+04	(-1.08163445712370e+02dB,1.73375296293112e+02°)
1.81970085860997e+04	(-1.08566842197493e+02dB,1.73200166229656e+02°)
1.86208713666285e+04	(-1.08970413868338e+02dB,1.73020798774406e+02°)
1.90546071796323e+04	(-1.09374170430942e+02dB,1.72837052363591e+02°)
1.94984459975803e+04	(-1.09778122201539e+02dB,1.72648779634584e+02°)
1.99526231496887e+04	(-1.10182280151407e+02dB,1.72455827080265e+02°)
2.04173794466951e+04	(-1.10586655955613e+02dB,1.72258034678667e+02°)
2.08929613085402e+04	(-1.10991262046069e+02dB,1.72055235495955e+02°)
2.13796208950222e+04	(-1.11396111669314e+02dB,1.71847255260485e+02°)
2.18776162394954e+04	(-1.11801218949534e+02dB,1.71633911905638e+02°)
2.23872113856832e+04	(-1.12206598957347e+02dB,1.71415015078786e+02°)
2.29086765276776e+04	(-1.12612267784984e+02dB,1.71190365613575e+02°)
2.34422881531990e+04	(-1.13018242628531e+02dB,1.70959754962474e+02°)
2.39883291901947e+04	(-1.13424541878007e+02dB,1.70722964586212e+02°)
