Freq.	V(vout)
4.16869383470333e+03	(-8.29002643613149e+01dB,1.79704974562327e+02°)
4.26579518801591e+03	(-8.33003395378080e+01dB,1.79637423104545e+02°)
4.36515832240164e+03	(-8.37004275127941e+01dB,1.79569670706951e+02°)
4.46683592150961e+03	(-8.41005284789389e+01dB,1.79501680942953e+02°)
4.57088189614873e+03	(-8.45006426569961e+01dB,1.79433417216028e+02°)
4.67735141287196e+03	(-8.49007702963357e+01dB,1.79364842737674e+02°)
4.78630092322636e+03	(-8.53009116755331e+01dB,1.79295920505061e+02°)
4.89778819368444e+03	(-8.57010671030278e+01dB,1.79226613278299e+02°)
5.01187233627270e+03	(-8.61012369178491e+01dB,1.79156883557333e+02°)
5.12861383991362e+03	(-8.65014214904166e+01dB,1.79086693558462e+02°)
5.24807460249770e+03	(-8.69016212234145e+01dB,1.79016005190365e+02°)
5.37031796370250e+03	(-8.73018365527394e+01dB,1.78944780029704e+02°)
5.49540873857622e+03	(-8.77020679485327e+01dB,1.78872979296185e+02°)
5.62341325190346e+03	(-8.81023159162891e+01dB,1.78800563827101e+02°)
5.75439937337154e+03	(-8.85025809980607e+01dB,1.78727494051303e+02°)
5.88843655355586e+03	(-8.89028637737380e+01dB,1.78653729962527e+02°)
6.02559586074354e+03	(-8.93031648624376e+01dB,1.78579231092088e+02°)
6.16595001861479e+03	(-8.97034849239770e+01dB,1.78503956480857e+02°)
6.30957344480190e+03	(-9.01038246604618e+01dB,1.78427864650480e+02°)
6.45654229034652e+03	(-9.05041848179695e+01dB,1.78350913573823e+02°)
6.60693448007592e+03	(-9.09045661883547e+01dB,1.78273060644519e+02°)
6.76082975391978e+03	(-9.13049696111693e+01dB,1.78194262645656e+02°)
6.91830970918932e+03	(-9.17053959757073e+01dB,1.78114475717437e+02°)
7.07945784384134e+03	(-9.21058462231846e+01dB,1.78033655323854e+02°)
7.24435960074986e+03	(-9.25063213490475e+01dB,1.77951756218232e+02°)
7.41310241300913e+03	(-9.29068224054416e+01dB,1.77868732407601e+02°)
7.58577575029179e+03	(-9.33073505038248e+01dB,1.77784537115820e+02°)
7.76247116628687e+03	(-9.37079068177470e+01dB,1.77699122745361e+02°)
7.94328234724277e+03	(-9.41084925858032e+01dB,1.77612440837681e+02°)
8.12830516164094e+03	(-9.45091091147722e+01dB,1.77524442032051e+02°)
8.31763771102666e+03	(-9.49097577829469e+01dB,1.77435076022808e+02°)
8.51138038202371e+03	(-9.53104400436730e+01dB,1.77344291514848e+02°)
8.70963589956075e+03	(-9.57111574291089e+01dB,1.77252036177309e+02°)
8.91250938133740e+03	(-9.61119115542182e+01dB,1.77158256595258e+02°)
9.12010839355904e+03	(-9.65127041210103e+01dB,1.77062898219350e+02°)
