"TIME","CH1","CH2"
-1.1856e-01,0.396,-0.254
-1.1854e-01,0.396,-0.252
-1.1852e-01,0.386,-0.248
-1.1850e-01,0.388,-0.25
-1.1848e-01,0.392,-0.248
-1.1846e-01,0.394,-0.246
-1.1844e-01,0.392,-0.248
-1.1842e-01,0.39,-0.25
-1.1840e-01,0.394,-0.252
-1.1838e-01,0.386,-0.25
-1.1836e-01,0.39,-0.252
-1.1834e-01,0.394,-0.252
-1.1832e-01,0.39,-0.25
-1.1830e-01,0.388,-0.254
-1.1828e-01,0.396,-0.244
-1.1826e-01,0.386,-0.244
-1.1824e-01,0.394,-0.252
-1.1822e-01,0.396,-0.252
-1.1820e-01,0.394,-0.252
-1.1818e-01,0.386,-0.248
-1.1816e-01,0.392,-0.254
-1.1814e-01,0.394,-0.244
-1.1812e-01,0.396,-0.246
-1.1810e-01,0.404,-0.248
-1.1808e-01,0.388,-0.252
-1.1806e-01,0.39,-0.248
-1.1804e-01,0.388,-0.248
-1.1802e-01,0.392,-0.252
-1.1800e-01,0.394,-0.248
-1.1798e-01,0.396,-0.252
-1.1796e-01,0.394,-0.254
-1.1794e-01,0.392,-0.254
-1.1792e-01,0.392,-0.252
-1.1790e-01,0.388,-0.246
-1.1788e-01,0.394,-0.254
-1.1786e-01,0.394,-0.252
-1.1784e-01,0.398,-0.252
-1.1782e-01,0.39,-0.256
-1.1780e-01,0.394,-0.248
-1.1778e-01,0.392,-0.252
-1.1776e-01,0.394,-0.25
-1.1774e-01,0.394,-0.248
-1.1772e-01,0.39,-0.25
-1.1770e-01,0.386,-0.258
-1.1768e-01,0.392,-0.252
-1.1766e-01,0.396,-0.252
-1.1764e-01,0.39,-0.252
-1.1762e-01,0.388,-0.258
-1.1760e-01,0.39,-0.248
-1.1758e-01,0.392,-0.252
-1.1756e-01,0.39,-0.256
-1.1754e-01,0.386,-0.252
-1.1752e-01,0.392,-0.25
-1.1750e-01,0.394,-0.248
-1.1748e-01,0.394,-0.252
-1.1746e-01,0.388,-0.256
-1.1744e-01,0.39,-0.252
-1.1742e-01,0.39,-0.26
-1.1740e-01,0.392,-0.248
-1.1738e-01,0.398,-0.252
-1.1736e-01,0.398,-0.254
-1.1734e-01,0.392,-0.252
-1.1732e-01,0.388,-0.256
-1.1730e-01,0.396,-0.25
-1.1728e-01,0.384,-0.254
-1.1726e-01,0.39,-0.258
-1.1724e-01,0.394,-0.254
-1.1722e-01,0.392,-0.256
-1.1720e-01,0.38,-0.254
-1.1718e-01,0.392,-0.25
-1.1716e-01,0.394,-0.252
-1.1714e-01,0.4,-0.254
-1.1712e-01,0.39,-0.256
-1.1710e-01,0.392,-0.256
-1.1708e-01,0.388,-0.256
-1.1706e-01,0.392,-0.248
-1.1704e-01,0.388,-0.25
-1.1702e-01,0.396,-0.254
-1.1700e-01,0.396,-0.254
-1.1698e-01,0.396,-0.254
-1.1696e-01,0.392,-0.252
-1.1694e-01,0.39,-0.25
-1.1692e-01,0.396,-0.252
-1.1690e-01,0.388,-0.254
-1.1688e-01,0.396,-0.258
-1.1686e-01,0.392,-0.258
-1.1684e-01,0.39,-0.254
-1.1682e-01,0.386,-0.258
-1.1680e-01,0.392,-0.254
-1.1678e-01,0.394,-0.26
-1.1676e-01,0.386,-0.264
-1.1674e-01,0.396,-0.254
-1.1672e-01,0.39,-0.256
-1.1670e-01,0.394,-0.262
-1.1668e-01,0.39,-0.252
-1.1666e-01,0.384,-0.26
-1.1664e-01,0.388,-0.254
-1.1662e-01,0.392,-0.254
-1.1660e-01,0.396,-0.26
-1.1658e-01,0.396,-0.262
-1.1656e-01,0.394,-0.258
-1.1654e-01,0.388,-0.254
-1.1652e-01,0.396,-0.256
-1.1650e-01,0.392,-0.258
-1.1648e-01,0.398,-0.262
-1.1646e-01,0.392,-0.258
-1.1644e-01,0.392,-0.262
-1.1642e-01,0.396,-0.254
-1.1640e-01,0.388,-0.262
-1.1638e-01,0.402,-0.26
-1.1636e-01,0.394,-0.258
-1.1634e-01,0.394,-0.258
-1.1632e-01,0.39,-0.262
-1.1630e-01,0.398,-0.256
-1.1628e-01,0.392,-0.262
-1.1626e-01,0.394,-0.25
-1.1624e-01,0.386,-0.258
-1.1622e-01,0.396,-0.264
-1.1620e-01,0.39,-0.256
-1.1618e-01,0.396,-0.256
-1.1616e-01,0.39,-0.262
-1.1614e-01,0.394,-0.258
-1.1612e-01,0.39,-0.262
-1.1610e-01,0.39,-0.262
-1.1608e-01,0.394,-0.26
-1.1606e-01,0.388,-0.258
-1.1604e-01,0.392,-0.256
-1.1602e-01,0.394,-0.258
-1.1600e-01,0.394,-0.256
-1.1598e-01,0.39,-0.264
-1.1596e-01,0.396,-0.258
-1.1594e-01,0.396,-0.258
-1.1592e-01,0.39,-0.26
-1.1590e-01,0.394,-0.256
-1.1588e-01,0.394,-0.26
-1.1586e-01,0.396,-0.252
-1.1584e-01,0.39,-0.26
-1.1582e-01,0.39,-0.264
-1.1580e-01,0.396,-0.26
-1.1578e-01,0.398,-0.26
-1.1576e-01,0.388,-0.254
-1.1574e-01,0.394,-0.264
-1.1572e-01,0.396,-0.264
-1.1570e-01,0.396,-0.262
-1.1568e-01,0.39,-0.258
-1.1566e-01,0.388,-0.258
-1.1564e-01,0.4,-0.262
-1.1562e-01,0.394,-0.264
-1.1560e-01,0.392,-0.26
-1.1558e-01,0.398,-0.256
-1.1556e-01,0.39,-0.264
-1.1554e-01,0.392,-0.264
-1.1552e-01,0.394,-0.266
-1.1550e-01,0.39,-0.256
-1.1548e-01,0.388,-0.262
-1.1546e-01,0.388,-0.266
-1.1544e-01,0.396,-0.268
-1.1542e-01,0.39,-0.262
-1.1540e-01,0.396,-0.266
-1.1538e-01,0.396,-0.262
-1.1536e-01,0.396,-0.262
-1.1534e-01,0.394,-0.262
-1.1532e-01,0.398,-0.262
-1.1530e-01,0.39,-0.266
-1.1528e-01,0.396,-0.268
-1.1526e-01,0.39,-0.264
-1.1524e-01,0.388,-0.26
-1.1522e-01,0.402,-0.258
-1.1520e-01,0.392,-0.266
-1.1518e-01,0.398,-0.264
-1.1516e-01,0.396,-0.266
-1.1514e-01,0.394,-0.26
-1.1512e-01,0.396,-0.264
-1.1510e-01,0.392,-0.27
-1.1508e-01,0.388,-0.264
-1.1506e-01,0.394,-0.264
-1.1504e-01,0.392,-0.264
-1.1502e-01,0.396,-0.27
-1.1500e-01,0.396,-0.26
-1.1498e-01,0.392,-0.264
-1.1496e-01,0.39,-0.26
-1.1494e-01,0.394,-0.26
-1.1492e-01,0.39,-0.27
-1.1490e-01,0.392,-0.264
-1.1488e-01,0.4,-0.26
-1.1486e-01,0.39,-0.27
-1.1484e-01,0.398,-0.264
-1.1482e-01,0.394,-0.262
-1.1480e-01,0.396,-0.27
-1.1478e-01,0.384,-0.266
-1.1476e-01,0.396,-0.272
-1.1474e-01,0.394,-0.268
-1.1472e-01,0.39,-0.27
-1.1470e-01,0.388,-0.268
-1.1468e-01,0.392,-0.27
-1.1466e-01,0.396,-0.268
-1.1464e-01,0.386,-0.266
-1.1462e-01,0.394,-0.266
-1.1460e-01,0.396,-0.27
-1.1458e-01,0.396,-0.26
-1.1456e-01,0.394,-0.266
-1.1454e-01,0.39,-0.264
-1.1452e-01,0.392,-0.268
-1.1450e-01,0.39,-0.268
-1.1448e-01,0.394,-0.27
-1.1446e-01,0.394,-0.27
-1.1444e-01,0.394,-0.264
-1.1442e-01,0.39,-0.268
-1.1440e-01,0.392,-0.266
-1.1438e-01,0.394,-0.268
-1.1436e-01,0.39,-0.268
-1.1434e-01,0.39,-0.268
-1.1432e-01,0.39,-0.264
-1.1430e-01,0.392,-0.27
-1.1428e-01,0.39,-0.26
-1.1426e-01,0.396,-0.274
-1.1424e-01,0.384,-0.268
-1.1422e-01,0.39,-0.27
-1.1420e-01,0.392,-0.264
-1.1418e-01,0.394,-0.268
-1.1416e-01,0.392,-0.264
-1.1414e-01,0.392,-0.272
-1.1412e-01,0.39,-0.268
-1.1410e-01,0.39,-0.262
-1.1408e-01,0.394,-0.278
-1.1406e-01,0.394,-0.272
-1.1404e-01,0.392,-0.272
-1.1402e-01,0.398,-0.27
-1.1400e-01,0.39,-0.262
-1.1398e-01,0.39,-0.268
-1.1396e-01,0.396,-0.27
-1.1394e-01,0.388,-0.272
-1.1392e-01,0.396,-0.264
-1.1390e-01,0.396,-0.272
-1.1388e-01,0.388,-0.27
-1.1386e-01,0.388,-0.268
-1.1384e-01,0.394,-0.272
-1.1382e-01,0.396,-0.276
-1.1380e-01,0.39,-0.274
-1.1378e-01,0.394,-0.27
-1.1376e-01,0.394,-0.27
-1.1374e-01,0.398,-0.274
-1.1372e-01,0.404,-0.27
-1.1370e-01,0.39,-0.27
-1.1368e-01,0.394,-0.264
-1.1366e-01,0.4,-0.268
-1.1364e-01,0.388,-0.268
-1.1362e-01,0.39,-0.27
-1.1360e-01,0.39,-0.272
-1.1358e-01,0.396,-0.276
-1.1356e-01,0.39,-0.272
-1.1354e-01,0.394,-0.27
-1.1352e-01,0.396,-0.274
-1.1350e-01,0.398,-0.27
-1.1348e-01,0.388,-0.27
-1.1346e-01,0.388,-0.268
-1.1344e-01,0.39,-0.264
-1.1342e-01,0.394,-0.274
-1.1340e-01,0.392,-0.268
-1.1338e-01,0.396,-0.276
-1.1336e-01,0.396,-0.274
-1.1334e-01,0.39,-0.272
-1.1332e-01,0.394,-0.27
-1.1330e-01,0.394,-0.272
-1.1328e-01,0.396,-0.268
-1.1326e-01,0.384,-0.268
-1.1324e-01,0.398,-0.274
-1.1322e-01,0.394,-0.272
-1.1320e-01,0.396,-0.27
-1.1318e-01,0.386,-0.274
-1.1316e-01,0.396,-0.28
-1.1314e-01,0.394,-0.27
-1.1312e-01,0.392,-0.27
-1.1310e-01,0.392,-0.276
-1.1308e-01,0.39,-0.274
-1.1306e-01,0.4,-0.274
-1.1304e-01,0.394,-0.274
-1.1302e-01,0.39,-0.278
-1.1300e-01,0.394,-0.282
-1.1298e-01,0.396,-0.28
