"TIME","CH1","CH2"
-1.2754e-01,0.388,-0.23
-1.2752e-01,0.392,-0.226
-1.2750e-01,0.384,-0.228
-1.2748e-01,0.384,-0.226
-1.2746e-01,0.382,-0.228
-1.2744e-01,0.388,-0.228
-1.2742e-01,0.39,-0.23
-1.2740e-01,0.384,-0.236
-1.2738e-01,0.386,-0.226
-1.2736e-01,0.39,-0.226
-1.2734e-01,0.388,-0.226
-1.2732e-01,0.386,-0.23
-1.2730e-01,0.384,-0.23
-1.2728e-01,0.39,-0.234
-1.2726e-01,0.392,-0.22
-1.2724e-01,0.38,-0.23
-1.2722e-01,0.382,-0.224
-1.2720e-01,0.38,-0.224
-1.2718e-01,0.39,-0.226
-1.2716e-01,0.386,-0.23
-1.2714e-01,0.386,-0.232
-1.2712e-01,0.388,-0.232
-1.2710e-01,0.386,-0.236
-1.2708e-01,0.392,-0.234
-1.2706e-01,0.39,-0.228
-1.2704e-01,0.388,-0.226
-1.2702e-01,0.384,-0.238
-1.2700e-01,0.39,-0.228
-1.2698e-01,0.39,-0.232
-1.2696e-01,0.386,-0.236
-1.2694e-01,0.382,-0.224
-1.2692e-01,0.39,-0.238
-1.2690e-01,0.388,-0.232
-1.2688e-01,0.388,-0.23
-1.2686e-01,0.384,-0.228
-1.2684e-01,0.382,-0.232
-1.2682e-01,0.388,-0.234
-1.2680e-01,0.388,-0.234
-1.2678e-01,0.386,-0.234
-1.2676e-01,0.388,-0.234
-1.2674e-01,0.386,-0.234
-1.2672e-01,0.384,-0.232
-1.2670e-01,0.384,-0.23
-1.2668e-01,0.382,-0.238
-1.2666e-01,0.382,-0.224
-1.2664e-01,0.38,-0.228
-1.2662e-01,0.386,-0.228
-1.2660e-01,0.39,-0.234
-1.2658e-01,0.386,-0.234
-1.2656e-01,0.386,-0.23
-1.2654e-01,0.386,-0.232
-1.2652e-01,0.386,-0.232
-1.2650e-01,0.394,-0.232
-1.2648e-01,0.386,-0.228
-1.2646e-01,0.384,-0.236
-1.2644e-01,0.396,-0.232
-1.2642e-01,0.386,-0.238
-1.2640e-01,0.388,-0.232
-1.2638e-01,0.378,-0.232
-1.2636e-01,0.384,-0.234
-1.2634e-01,0.384,-0.24
-1.2632e-01,0.382,-0.232
-1.2630e-01,0.384,-0.232
-1.2628e-01,0.384,-0.236
-1.2626e-01,0.388,-0.234
-1.2624e-01,0.39,-0.234
-1.2622e-01,0.388,-0.232
-1.2620e-01,0.384,-0.228
-1.2618e-01,0.384,-0.236
-1.2616e-01,0.392,-0.236
-1.2614e-01,0.39,-0.236
-1.2612e-01,0.384,-0.236
-1.2610e-01,0.39,-0.232
-1.2608e-01,0.384,-0.226
-1.2606e-01,0.386,-0.236
-1.2604e-01,0.386,-0.23
-1.2602e-01,0.386,-0.234
-1.2600e-01,0.388,-0.234
-1.2598e-01,0.388,-0.236
-1.2596e-01,0.386,-0.238
-1.2594e-01,0.39,-0.232
-1.2592e-01,0.388,-0.238
-1.2590e-01,0.382,-0.238
-1.2588e-01,0.39,-0.228
-1.2586e-01,0.388,-0.234
-1.2584e-01,0.382,-0.232
-1.2582e-01,0.39,-0.232
-1.2580e-01,0.386,-0.23
-1.2578e-01,0.39,-0.238
-1.2576e-01,0.386,-0.234
-1.2574e-01,0.39,-0.236
-1.2572e-01,0.392,-0.238
-1.2570e-01,0.39,-0.238
-1.2568e-01,0.388,-0.234
-1.2566e-01,0.386,-0.232
-1.2564e-01,0.384,-0.236
-1.2562e-01,0.396,-0.24
-1.2560e-01,0.382,-0.236
-1.2558e-01,0.38,-0.236
-1.2556e-01,0.388,-0.234
-1.2554e-01,0.396,-0.238
-1.2552e-01,0.39,-0.236
-1.2550e-01,0.392,-0.234
-1.2548e-01,0.39,-0.236
-1.2546e-01,0.392,-0.236
-1.2544e-01,0.386,-0.238
-1.2542e-01,0.392,-0.234
-1.2540e-01,0.384,-0.234
-1.2538e-01,0.39,-0.238
-1.2536e-01,0.388,-0.24
-1.2534e-01,0.392,-0.238
-1.2532e-01,0.386,-0.234
-1.2530e-01,0.388,-0.236
-1.2528e-01,0.388,-0.242
-1.2526e-01,0.39,-0.242
-1.2524e-01,0.392,-0.232
-1.2522e-01,0.392,-0.236
-1.2520e-01,0.384,-0.238
-1.2518e-01,0.386,-0.242
-1.2516e-01,0.382,-0.24
-1.2514e-01,0.386,-0.24
-1.2512e-01,0.392,-0.24
-1.2510e-01,0.384,-0.242
-1.2508e-01,0.392,-0.238
-1.2506e-01,0.388,-0.248
-1.2504e-01,0.384,-0.24
-1.2502e-01,0.386,-0.242
-1.2500e-01,0.39,-0.242
-1.2498e-01,0.384,-0.236
-1.2496e-01,0.39,-0.238
-1.2494e-01,0.386,-0.238
-1.2492e-01,0.384,-0.242
-1.2490e-01,0.388,-0.234
-1.2488e-01,0.386,-0.238
-1.2486e-01,0.388,-0.24
-1.2484e-01,0.384,-0.244
-1.2482e-01,0.386,-0.238
-1.2480e-01,0.382,-0.24
-1.2478e-01,0.388,-0.246
-1.2476e-01,0.388,-0.246
-1.2474e-01,0.388,-0.238
-1.2472e-01,0.38,-0.244
-1.2470e-01,0.386,-0.242
-1.2468e-01,0.384,-0.238
-1.2466e-01,0.386,-0.24
