"TIME","CH3","CH4"
-6.4440e-02,0.01,-0.024
-6.4430e-02,0.01,-0.026
-6.4420e-02,0.016,-0.028
-6.4410e-02,0.018,-0.02
-6.4400e-02,0.02,-0.026
-6.4390e-02,0.018,-0.024
-6.4380e-02,0.016,-0.02
-6.4370e-02,0.02,-0.024
-6.4360e-02,0.016,-0.024
-6.4350e-02,0.016,-0.02
-6.4340e-02,0.012,-0.024
-6.4330e-02,0.02,-0.022
-6.4320e-02,0.012,-0.026
-6.4310e-02,0.012,-0.028
-6.4300e-02,0.014,-0.024
-6.4290e-02,0.014,-0.024
-6.4280e-02,0.02,-0.026
-6.4270e-02,0.014,-0.024
-6.4260e-02,0.016,-0.032
-6.4250e-02,0.02,-0.026
-6.4240e-02,0.016,-0.032
-6.4230e-02,0.01,-0.032
-6.4220e-02,0.012,-0.022
-6.4210e-02,0.014,-0.03
-6.4200e-02,0.022,-0.026
-6.4190e-02,0.01,-0.026
-6.4180e-02,0.014,-0.034
-6.4170e-02,0.012,-0.032
-6.4160e-02,0.014,-0.026
-6.4150e-02,0.012,-0.028
-6.4140e-02,0.018,-0.024
-6.4130e-02,0.01,-0.032
-6.4120e-02,0.014,-0.02
-6.4110e-02,0.022,-0.034
-6.4100e-02,0.016,-0.032
-6.4090e-02,0.016,-0.032
-6.4080e-02,0.012,-0.032
-6.4070e-02,0.012,-0.032
-6.4060e-02,0.02,-0.032
-6.4050e-02,0.018,-0.028
-6.4040e-02,0.02,-0.032
-6.4030e-02,0.018,-0.028
-6.4020e-02,0.016,-0.026
-6.4010e-02,0.014,-0.026
-6.4000e-02,0.008,-0.036
-6.3990e-02,0.016,-0.032
-6.3980e-02,0.02,-0.036
-6.3970e-02,0.008,-0.032
-6.3960e-02,0.014,-0.036
-6.3950e-02,0.014,-0.034
-6.3940e-02,0.016,-0.036
-6.3930e-02,0.02,-0.032
-6.3920e-02,0.018,-0.028
-6.3910e-02,0.016,-0.032
-6.3900e-02,0.014,-0.032
-6.3890e-02,0.016,-0.032
-6.3880e-02,0.018,-0.032
-6.3870e-02,0.014,-0.038
-6.3860e-02,0.01,-0.034
-6.3850e-02,0.014,-0.032
-6.3840e-02,0.014,-0.04
-6.3830e-02,0.012,-0.028
-6.3820e-02,0.01,-0.036
-6.3810e-02,0.012,-0.038
-6.3800e-02,0.016,-0.034
-6.3790e-02,0.016,-0.032
-6.3780e-02,0.014,-0.028
-6.3770e-02,0.016,-0.032
-6.3760e-02,0.01,-0.032
-6.3750e-02,0.014,-0.034
-6.3740e-02,0.014,-0.036
-6.3730e-02,0.014,-0.032
-6.3720e-02,0.014,-0.032
-6.3710e-02,0.016,-0.036
-6.3700e-02,0.012,-0.034
-6.3690e-02,0.016,-0.038
-6.3680e-02,0.012,-0.04
-6.3670e-02,0.016,-0.034
-6.3660e-02,0.012,-0.04
-6.3650e-02,0.012,-0.038
-6.3640e-02,0.012,-0.038
-6.3630e-02,0.012,-0.036
-6.3620e-02,0.016,-0.04
-6.3610e-02,0.01,-0.034
-6.3600e-02,0.016,-0.036
-6.3590e-02,0.02,-0.04
-6.3580e-02,0.018,-0.034
-6.3570e-02,0.016,-0.032
-6.3560e-02,0.014,-0.04
-6.3550e-02,0.014,-0.038
-6.3540e-02,0.014,-0.04
-6.3530e-02,0.014,-0.034
-6.3520e-02,0.016,-0.038
-6.3510e-02,0.014,-0.042
-6.3500e-02,0.016,-0.04
-6.3490e-02,0.012,-0.036
-6.3480e-02,0.014,-0.04
-6.3470e-02,0.012,-0.03
-6.3460e-02,0.016,-0.04
-6.3450e-02,0.02,-0.038
-6.3440e-02,0.02,-0.048
-6.3430e-02,0.012,-0.04
-6.3420e-02,0.014,-0.042
-6.3410e-02,0.016,-0.034
-6.3400e-02,0.012,-0.042
-6.3390e-02,0.02,-0.038
-6.3380e-02,0.014,-0.042
-6.3370e-02,0.016,-0.036
-6.3360e-02,0.02,-0.04
-6.3350e-02,0.012,-0.04
-6.3340e-02,0.02,-0.04
-6.3330e-02,0.006,-0.036
-6.3320e-02,0.014,-0.042
-6.3310e-02,0.008,-0.04
-6.3300e-02,0.016,-0.036
-6.3290e-02,0.016,-0.04
-6.3280e-02,0.012,-0.044
-6.3270e-02,0.018,-0.04
-6.3260e-02,0.012,-0.04
-6.3250e-02,0.012,-0.04
-6.3240e-02,0.012,-0.042
-6.3230e-02,0.012,-0.044
-6.3220e-02,0.018,-0.042
-6.3210e-02,0.016,-0.042
-6.3200e-02,0.014,-0.044
-6.3190e-02,0.016,-0.042
-6.3180e-02,0.014,-0.042
-6.3170e-02,0.018,-0.042
-6.3160e-02,0.02,-0.044
-6.3150e-02,0.012,-0.034
-6.3140e-02,0.006,-0.046
-6.3130e-02,0.012,-0.044
-6.3120e-02,0.008,-0.05
-6.3110e-02,0.018,-0.044
-6.3100e-02,0.02,-0.048
-6.3090e-02,0.016,-0.04
-6.3080e-02,0.016,-0.046
-6.3070e-02,0.016,-0.044
-6.3060e-02,0.014,-0.046
-6.3050e-02,0.018,-0.044
-6.3040e-02,0.012,-0.04
-6.3030e-02,0.01,-0.042
-6.3020e-02,0.014,-0.044
-6.3010e-02,0.01,-0.052
-6.3000e-02,0.014,-0.044
-6.2990e-02,0.014,-0.046
-6.2980e-02,0.016,-0.046
-6.2970e-02,0.012,-0.052
-6.2960e-02,0.006,-0.048
-6.2950e-02,0.018,-0.042
-6.2940e-02,0.014,-0.042
-6.2930e-02,0.016,-0.046
-6.2920e-02,0.018,-0.044
-6.2910e-02,0.016,-0.056
-6.2900e-02,0.02,-0.046
-6.2890e-02,0.018,-0.04
-6.2880e-02,0.012,-0.046
-6.2870e-02,0.006,-0.048
-6.2860e-02,0.014,-0.042
-6.2850e-02,0.012,-0.044
-6.2840e-02,0.016,-0.052
-6.2830e-02,0.01,-0.04
-6.2820e-02,0.016,-0.044
-6.2810e-02,0.018,-0.046
-6.2800e-02,0.008,-0.052
-6.2790e-02,0.012,-0.044
-6.2780e-02,0.012,-0.04
-6.2770e-02,0.014,-0.05
-6.2760e-02,0.01,-0.052
-6.2750e-02,0.014,-0.046
-6.2740e-02,0.018,-0.054
-6.2730e-02,0.008,-0.046
-6.2720e-02,0.02,-0.046
-6.2710e-02,0.012,-0.044
-6.2700e-02,0.014,-0.044
-6.2690e-02,0.01,-0.05
-6.2680e-02,0.012,-0.046
-6.2670e-02,0.016,-0.04
-6.2660e-02,0.014,-0.054
-6.2650e-02,0.012,-0.052
-6.2640e-02,0.014,-0.04
-6.2630e-02,0.016,-0.048
-6.2620e-02,0.012,-0.046
-6.2610e-02,0.016,-0.048
-6.2600e-02,0.014,-0.05
-6.2590e-02,0.014,-0.044
-6.2580e-02,0.01,-0.05
-6.2570e-02,0.016,-0.046
-6.2560e-02,0.008,-0.048
-6.2550e-02,0.014,-0.05
-6.2540e-02,0.014,-0.052
-6.2530e-02,0.012,-0.052
-6.2520e-02,0.016,-0.052
-6.2510e-02,0.01,-0.05
-6.2500e-02,0.012,-0.05
-6.2490e-02,0.018,-0.05
-6.2480e-02,0.008,-0.056
-6.2470e-02,0.02,-0.052
-6.2460e-02,0.018,-0.052
-6.2450e-02,0.016,-0.052
-6.2440e-02,0.012,-0.054
-6.2430e-02,0.018,-0.056
-6.2420e-02,0.018,-0.054
-6.2410e-02,0.012,-0.048
-6.2400e-02,0.012,-0.046
-6.2390e-02,0.01,-0.056
-6.2380e-02,0.02,-0.054
-6.2370e-02,0.016,-0.056
-6.2360e-02,0.014,-0.052
-6.2350e-02,0.014,-0.058
-6.2340e-02,0.022,-0.044
-6.2330e-02,0.022,-0.054
-6.2320e-02,0.018,-0.052
-6.2310e-02,0.008,-0.056
-6.2300e-02,0.014,-0.05
-6.2290e-02,0.008,-0.058
-6.2280e-02,0.014,-0.052
-6.2270e-02,0.01,-0.058
-6.2260e-02,0.014,-0.052
-6.2250e-02,0.02,-0.05
-6.2240e-02,0.014,-0.048
-6.2230e-02,0.018,-0.054
-6.2220e-02,0.014,-0.054
-6.2210e-02,0.018,-0.058
-6.2200e-02,0.014,-0.056
-6.2190e-02,0.016,-0.052
-6.2180e-02,0.012,-0.052
-6.2170e-02,0.012,-0.056
-6.2160e-02,0.012,-0.056
-6.2150e-02,0.01,-0.052
-6.2140e-02,0.012,-0.058
-6.2130e-02,0.016,-0.046
-6.2120e-02,0.02,-0.058
-6.2110e-02,0.016,-0.056
-6.2100e-02,0.016,-0.06
-6.2090e-02,0.018,-0.056
-6.2080e-02,0.022,-0.056
-6.2070e-02,0.026,-0.052
-6.2060e-02,0.024,-0.054
-6.2050e-02,0.036,-0.05
-6.2040e-02,0.046,-0.052
-6.2030e-02,0.062,-0.05
-6.2020e-02,0.102,-0.058
-6.2010e-02,0.152,-0.052
-6.2000e-02,0.132,-0.054
-6.1990e-02,0.07,-0.056
-6.1980e-02,0.046,-0.06
-6.1970e-02,0.03,-0.052
-6.1960e-02,0.024,-0.052
-6.1950e-02,0.016,-0.056
-6.1940e-02,0.02,-0.056
-6.1930e-02,0.022,-0.054
-6.1920e-02,0.016,-0.058
-6.1910e-02,0.02,-0.058
-6.1900e-02,0.016,-0.06
-6.1890e-02,0.022,-0.06
-6.1880e-02,0.016,-0.06
-6.1870e-02,0.016,-0.06
-6.1860e-02,0.008,-0.06
-6.1850e-02,0.018,-0.056
-6.1840e-02,0.014,-0.056
-6.1830e-02,0.012,-0.062
-6.1820e-02,0.014,-0.054
-6.1810e-02,0.008,-0.056
-6.1800e-02,0.016,-0.06
-6.1790e-02,0.014,-0.058
-6.1780e-02,0.018,-0.058
-6.1770e-02,0.016,-0.06
-6.1760e-02,0.01,-0.058
-6.1750e-02,0.016,-0.06
-6.1740e-02,0.014,-0.064
-6.1730e-02,0.008,-0.06
-6.1720e-02,0.012,-0.06
-6.1710e-02,0.018,-0.06
-6.1700e-02,0.014,-0.056
